Dealer,Person(s),Phone,Email,Website,Address,SlowFoodLink
Ölmühle Solling - Mühlenladen Köln,Frau Sarah Baensch,(02 21) 29 84 88 78,sarah.baensch@oelmuehle-solling.de,https://www.oelmuehle-solling.de/info/muehlenladen-koeln.html,"Friesenwall 29,  50672  Köln, Nordrhein-Westfalen",https://www.slowfood.de/unterstuetzer/haendler/oelmuehle_solling_muehlenladen_koeln
Hennes' Finest GmbH & Co. KG | Köln,"Brimmers, Gompelmann, Stollwerk",(02 21) 16 99 51 03,contact@hennesfinest.com,http://www.hennesfinest.com,"Moltkestraße 125,  50674 Köln, Nordrhein-Westfalen",https://www.slowfood.de/unterstuetzer/haendler/hennes_finest_gmbh_co_kg_koeln
Käse Glückler,Herr Patrick Glückler,(01 79) 2 19 91 44,info@kaeseglueckler.de,http://kaeseglueckler.de,"Stammstraße 87,  50823 Köln, Nordrhein-Westfalen",https://www.slowfood.de/unterstuetzer/haendler/kaese_glueckler
REWE Maziejewski OHG,Herr Jürgen Maziejewski,(02 21) 53 97 26 56,juergen.maziejewski@rewe-kaufleute.com,https://www.facebook.com/rewe.Maziejewski,"Aachener Str. 382,  50933 Köln - Braunsfeld, Nordrhein-Westfalen",https://www.slowfood.de/unterstuetzer/haendler/rewe_maziejewski_ohg
Weinlädchen,Monika Drews,02203-32585,monika.drews@weinlaedchen-drews.,http://www.weinlaedchen-drews.de,"Frankfurter Str. 629,  51145 Köln, Nordrhein-Westfalen",https://www.slowfood.de/unterstuetzer/haendler/weinlaedchen
REWE Tönnies OHG,Herr Dietmar Tönnies ,0 22 02 - 75 57,service@rewe-odenthal.de,http://www.rewe-odenthal.de,"Altenberger-Dom-Straße 42,  51519  Odenthal, Nordrhein-Westfalen",https://www.slowfood.de/unterstuetzer/haendler/rewe_toennies_ohg
Bio Bursch GmbH,Heinz Bursch,02227 - 91990,info@biohof-bursch.de,http://www.biohof-bursch.de,"Weidenpeschweg 31,  53332 Bornheim-Waldorf , Nordrhein-Westfalen",https://www.slowfood.de/unterstuetzer/haendler/bio_bursch_gmbh
Fair-Handelszentrum Rheinland GmbH,Herr Martin Klupsch und Frau Martina Schauten,(02 28) 28 03 70 92,info@rfz-rheinland.de,http://www.rfz-rheinland.de,"Am Tonschuppen 4 a,  53347 Alfter, Nordrhein-Westfalen",https://www.slowfood.de/unterstuetzer/haendler/fair_handelszentrum_rheinland
deli team Delikatessenvertriebsgesellschaft mbH,Herr Andreas Zimmermann,(0 26 42) 97 02–0,info@deliteam.de,http://www.deliteam.de,"Grüner Weg 35,  53489 Sinzig, Nordrhein-Westfalen",https://www.slowfood.de/unterstuetzer/haendler/deli_team_delikatessenvertriebsgesellschaft_mbh
diegenussdealer,Susanne Wurm,02644-5699589,hallo@diegenussdealer.com,www.diegenussdealer.com,"Sonnenstraße 20,  53579 Erpel, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/haendler/diegenussdealer
Josef Lichtenberg Versand,Sigrid Lichtenberg,02244-9048393,info@tolletoepfe.de,http://www.tolletoepfe.de,"Marxstr. 10,  53639 Königswinter, Nordrhein-Westfalen",https://www.slowfood.de/unterstuetzer/haendler/josef_lichtenberg_versand
WürzWerk ,Frau Vera Feist,06592 - 98 46 07 0,info@wuerzwerk.com,http://www.wuerzwerk.com,"Konrad-Zuse-Str. 3,  54552 Nerdlen, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/haendler/wuerzwerk
Landschaften schmecken - Onlineshop für europäische Terroirprodukte,Frau Andrea Scheideler,06758-8089770,info@LandschaftenSchmecken.com,http://www.landschaftenschmecken.com,"Lindenstrasse 18,  55596  Oberstreit, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/haendler/landschaften_schmecken
Edeka Märkte Decker's Team,Frau Alexandra Decker e.K.,(06782) - 88 789 - 0,Edeka-maerkte@E-Deckers-Team.de,http://www.edeka-deckers-team.de,"Saarstraße 129,  55768 Hoppstädten-Weiersbach, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/haendler/edeka_deckers_team
MARKANT MARKT  Albert Siebrichhausen e.K.,Herr Albert Siebrichhausen,(0 29 74) 9 68 95 99,info@siebrichhausen-markant.de,http://www.siebrichhausens-markant.de,"Holthauser Straße 1,  57392 Schmallenberg - Bad Fredeburg, Nordrhein-Westfalen",https://www.slowfood.de/unterstuetzer/haendler/markant_markt_albert_siebrichhausen_ek
Royal Nature GmbH & Co. KG,Herr Olaf Panne,(0 23 53) 66 53 060,info@royal-nature.de,http://www.royal-nature.de,"Langenscheid 2 - 6,  58553 Halver, Nordrhein-Westfalen",https://www.slowfood.de/unterstuetzer/haendler/royal_nature_gmbh_co_kg
Michas Essen und Trinken,Micha Bartels,069-554444,bartels@michas-essen-und-trinken.de,http://www.michas-essen-und-trinken.de,"Sömmeringstr. 1,  60322 Frankfurt, Hessen",https://www.slowfood.de/unterstuetzer/haendler/michas_essen_und_trinken
Petersen Gutes Essen - Feinkost Handel,Herr Hans Petersen,069 / 71 71 35 36,info@petersen-gutes-essen.de,http://petersen-gutes-essen.de,"Eppsteiner Straße 26 (Ecke Unterlindau),  60323  Frankfurt am Main – Westend, Hessen",https://www.slowfood.de/unterstuetzer/haendler/petersen_gutes_essen
"Buchhandlung ""Wendeltreppe""",Hildegard Ganßmüller,069 - 611341,"Brückenstraße 34,  60594 Frankfurt, Hessen",https://www.slowfood.de/unterstuetzer/haendler/buchhandlung_wendeltreppe
Il Gusto,Ylva Casagrande,069-60605810,ilgusto@arcor.de,http://www.ilgusto.de,"Schweizer Straße 81,  60594 Frankfurt, Hessen",https://www.slowfood.de/unterstuetzer/haendler/il_gusto
Käse Schuster,Gunther Schuster,06032-920710,info@kaese-schuster.de,http://www.kaese-schuster.de,"Im Rosental 1,  61231 Bad Nauheim, Hessen",https://www.slowfood.de/unterstuetzer/haendler/kaese_schuster
UENO GOURMET GmbH,Frau Yoshiko Ueno-Müller,06173 940 686,info@japan-gourmet.com,http://www.japan-gourmet.com/,"Bahnhofstr. 7a,  61476 Kronberg, Hessen",https://www.slowfood.de/unterstuetzer/haendler/ueno-gourmet-gmbh
Toscana - Der Weinladen,"Frau Herta Schneider, Herr Sieghard Schneider",06182-20 21 0,vino@toscana-der-weinladen.de,http://www.toscana-der-weinladen.de,"Frankfurter Str. 103,  63500 Seligenstadt / M., Hessen",https://www.slowfood.de/unterstuetzer/haendler/toscana_der_weinladen
die kleine Metzgerei,Eva Wolf,06022-31508,peter.wolf@mail.de,"Raiffeisenstr. 3,  63785 Obernburg, Bayern",https://www.slowfood.de/unterstuetzer/haendler/die-kleine-metzgerei
vinocentral GmbH,Alexander Marschall und Michael Bode-Böckenhauer,06151-809430,info@vinocentral.de,https://www.vinocentral.de,"Platz der Deutschen Einheit 21,  64293 Darmstadt, Hessen",https://www.slowfood.de/unterstuetzer/haendler/vinocentral_gmbh
Casa Molina,Herr Marcos Molina,06151 - 95805,info@casamolina.de,http://www.casamolina.de,"Goebelstr. 21,  64293 Darmstadt, Hessen",https://www.slowfood.de/unterstuetzer/haendler/molina_gmbh
Fripa,Wolfgang Hahl,06251-84740,wolfgang.hahl@frischepartner.de,http://www.frischepartner.de,"Neuwiesenfeld 10,  64625 Bensheim, Hessen",https://www.slowfood.de/unterstuetzer/haendler/fripa
Divino Mull & Salg GbR,Thomas Mull  & Anja Salg,0 62 51 / 13 89 21,divino-weine@arcor.de,http://www.divino-weine.de,"Am Bürgerhaus 6,  64625  Bensheim, Hessen",https://www.slowfood.de/unterstuetzer/haendler/divino_mull_salg_gbr
raumconcept 3,Kai Alexander Hettwer ,(+49)6152-950778,info@raumconcept3.de,http://raumconcept3.de,"Kaltererstr. 4b,  64646 Heppenheim/Bergstraße, Hessen",https://www.slowfood.de/unterstuetzer/haendler/raumconcept_3
"""Die Pfanne von Anne"" Ferrodur",Frau Annegret Gaydoul,09848 - 969191,info@pfanne-von-anne.de,http://www.pfanne-von-anne.de,"Weyprechtstrasse 57,  64732 Bad König, Hessen",https://www.slowfood.de/unterstuetzer/haendler/die_pfanne_von_anne_ferrodur
Privat-Brauerei Schmucker GmbH,Herr Willy Schmidt,(06061) 702-0,info@schmucker-bier.de,https://www.schmucker-bier.de,"Hauptstr. 89,  64756 Mossautal, Hessen",https://www.slowfood.de/unterstuetzer/haendler/privat_brauerei_schmucker
Vinum autmundis,06078 - 2349,"
              ",info@vinum-autmundis.de,http://www.vinum-autmundis.de,"Riegelgartenweg 1,  64823  Groß-Umstadt , Hessen",https://www.slowfood.de/unterstuetzer/haendler/vinum_autmundis
Wild und Geflügel,Klaus Mann,06071-41473,"Brunnerstr. 18,  64846 Groß-Zimmern, Hessen",https://www.slowfood.de/unterstuetzer/haendler/bauer_mann
EASY GOURMET GmbH,Herr Wolfgang E. Herold,0611 - 89022-11,info@easy-gourmet.com,http://www.easy-gourmet.com,"Bahnstraße 6,  65205  Wiesbaden, Hessen",https://www.slowfood.de/unterstuetzer/haendler/easy_gourmet_gmbh
Heinz Buch GmbH,Christian Buch,06192-963-0,info@Buch-der-Markt.de,"Hauptstr.73,  65719 Hofheim / Taunus, Hessen",https://www.slowfood.de/unterstuetzer/haendler/heinz_buch_gmbh
chocolats-de-luxe.de GmbH,Frau Michaela Schupp,06195 - 72 42 88,inof@chocolats-de-luxe.de,http://www.chocolats-de-luxe.de,"Bahnstraße 8,  65779 Kelkheim, Hessen",https://www.slowfood.de/unterstuetzer/haendler/chocolats_de_luxede_gmbh
Dalay Zigarren,Salin Dalay,0681 - 5898509,info@dalay.de,http://www.dalay.de,"Fürstenstraße 15b,  66111 Saarbrücken, Saarland",https://www.slowfood.de/unterstuetzer/haendler/dalay_zigarren
Saar-Lor-deLuxe – 100% regionale Produkte,Herr Kilian Heinz,(0681) 401 403 12,info@saar-lor-deluxe.com,http://www.saar-lor-deluxe.com,"Nauwieser Straße 30,  66111 Saarbrücken, Saarland",https://www.slowfood.de/unterstuetzer/haendler/saar_lor_deluxe_100_regionale_produkte
Apero Feinkost,Katja Sellnau,0681-4163480,katja.sellnau@web.de,"Saargemünderstr. 63,  66119 Saarbrücken, Saarland",https://www.slowfood.de/unterstuetzer/haendler/apero
Mali's Leckereien,Christine Breyer & Gabriele Leese,06805-7436,info@malis-leckereien.de,http://www.malis-leckereien.de,"Fechinger Str. 42-44,  66271 Kleinblittersdorf-Bliesransbach, Saarland",https://www.slowfood.de/unterstuetzer/haendler/malis_leckereien
Bliesgauer Ölmühle ,Patric Bies und Jörg Hector,06805 - 9298085,bliesgauoele@web.de,http://www.bliesgauoele.de,"Hartungshof,  66271 Bliesransbach, Saarland",https://www.slowfood.de/unterstuetzer/haendler/bliesgauer_oelmuehle
Jung Feinkost GmbH,Herr Rainer Jung,06841 / 645 94,info@jungsbio.de,http://www.jungsbio.de,"Saarbrücker Str. 5,  66424 Homburg, Saarland",https://www.slowfood.de/unterstuetzer/haendler/jung_feinkost_gmbh
ISSIMOTECA,Vincenzo Vitolo,0 68 41 - 1 22 22,issimo@issimo-feinkost.de,https://issimoteca.de/,"Uhlandstrasse 7,  66424 Homburg, Saarland",https://www.slowfood.de/unterstuetzer/haendler/issimo_feinkost
Jacopini Import GmbH,Herr Enrico Jacopini,06821 - 931530,shop@jacopini-weinhandel.de,http://www.jacopini-weinhandel.de,"Am Gneisenauflöz 1,  66538 Neunkirchen, Saarland",https://www.slowfood.de/unterstuetzer/haendler/jacopini_import_gmbh
OLIVARIO & OLIVINUS by Segura,Herrn Eric Segura,(0 68 31) 94 97 90,info@olivario.de,http://www.olivinus.de,"Wallerfangerstraße 83,  66740 Saarlouis, Saarland",https://www.slowfood.de/unterstuetzer/haendler/olivario_olivinus_by_segura
Der Kaufmannsladen,Herr Raoul Mailänder, 0 68 31 - 50 13 660,info@der-kaufmannsladen.de,http://www.der-kaufmannsladen.de,"Herrenstraße 20,  66763 Dillingen, Saarland",https://www.slowfood.de/unterstuetzer/haendler/der_kaufmannsladen
Kooperativen ohne Grenzen eG,Olaf Paulsen,06384 - 92 53 72,csf-d@cooperativasinfronteras.net,http://www.kooperativenohnegrenzen.net,"Bahnhofstr. 8,  66871 Pfeffelbach, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/haendler/kooperativen_ohne_grenzen_eg
Annas Kaffeerösterei,Anna Alikhanyan,06322 7907247,info@annaskaffeeroesterei.de,https://annaskaffeeroesterei.de,"Leiningerstraße 15,  67098 Bad Dürkheim, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/haendler/annas-kaffeeroesterei
Villa Im Paradies,Regina Menger-Krug,06326-7733,menger-krug@t-online.de,"Weinstr. 82,  67146 Deidesheim, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/haendler/villa_im_paradies
Zait Olivenöl & mehr,Tina Ottmann,06359 - 92 46 70,kontakt@zait.de,http://www.zait.de,"Postfach 370,  67265 Grünstadt, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/haendler/zait_olivenoel__mehr
Ursula Utting-Metzger GmbH,Thomas Metzger,06321-7220,utting-metzger@t-online.de,"Weinstr. 157,  67434 Neustadt, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/haendler/ursula_utting_metzger
Wein - Hauck,Erika Hauck,0631 - 360 58 23,Ralf@wein-hauck.de,http://www.wein-hauck.de/,"Bismarckstr. 18 a,  67655 Kaiserslautern, Rheinland-Pfalz",https://www.slowfood.de/unterstuetzer/haendler/wein_hauck
Genuss x Zeit - Die österreichische Botschaft,Frau Jasmine Letschnig,(01 75)  2 64 80 05,jletschnig@genussxzeit.de,https://www.facebook.com/genussxzeit,"Frau Jasmine Letschnig,  68723 Schwetzingen, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/haendler/genuss_x_zeit_die_oesterreichische_botschaft
Tischmacher Weine GbR,Ole Tischmacher / Hans-Jürgen Lakomy,06202 5768 91,info@tischmacher-weine.de,http://www.tischmacher-weine.de,"Odenwaldring 8,  68723 Schwetzingen, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/haendler/tischmacher_weine
brandgeister.de,Herr Jörg Führer,06223 7299 564,info@brandgeister.de,https://brandgeister.de,"Adalbert-Seifriz-Str. 32,  69151 Neckargmünd, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/haendler/brandgeisterde
Hungerbichler - Knecht,Frau Christine Knecht,(07 11) 67 27 16 16,info-hungerbichler@online.de,http://www.hungerbichler.de,"Senefelderstrasse 99,  70176 Stuttgart, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/haendler/hungerbichler_knecht
Feinkost- und Weinhandelsgesellschaft mbH,Maiti Leinss,0711-168530,info@digennaro.de,http://www.digennaro.de,"Von Pistorius Str. 1,  70188 Stuttgart, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/haendler/di_gennaro_feinkost_und_weinhandelsgesellschaft_mbh
Ecofit Biofruchtimport GmbH,Herr Hansjörg Schrade,0711 52 08 79 0,l.handel@ecofit.bio,http://www.ecofit.de,"Ulmer Straße 157,  70188 Stuttgart, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/haendler/ecofit_biofruchtimport_gmbh
Fischer + Trezza Import GmbH,0711-4606700,"
              ",info@fischer-trezza.de,http://www.fischer-trezza.de,"Ulmer Str. 150,  70188 Stuttgart, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/haendler/fischer__trezza_import_gmbh
 Schüttgut® - nachhaltige & unverpackte Lebensmittel,Herr Jens-Peter Wedlich,(07 11) 23 09 68 75,willkommen@schuettgut-stuttgart.de,https://www.schuettgut-stuttgart.de,"Vogelsangstraße 51,  70197 Stuttgart, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/haendler/schuettgut
Fromagerie Holzapfel,Frau Birgit Böhme,07032/930950,info@fromagerie-holzapfel.de,http://www.fromagerie-holzapfel.de,"Römerweg 31,  71083 Herrenberg- Kuppingen, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/haendler/fromagerie_holzapfel
POIS - Natürlich Portugal. ,Herr Matthias Kästner,(01 63) 1 61 19 18,kontakt@pois-portugal.de,https://pois-portugal.de,"Karl-Krämer-Str. 23,  71364  Winnenden, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/haendler/pois_natuerlich_portugal
Aromakost,Birgitt Mockler,07141 - 2391371,info@aromakost.de,"Eberhardstr. 10,  71634 Ludwigsburg, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/haendler/aromakost
BioGourmet GmbH,Frau Corinna Steger,071 44 / 33 423-81,info@bio-gourmet.com,http://www.bio-gourmet.com,"Ochsenweg 1,  71729 Erdmannhausen, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/haendler/biogourmet_gmbh
Silberburg am Markt,Hans Peter Schwarz,07071-551844,hans-peter.schwarz@silberburg-am,http://www.silberburg-am-markt.de,"Wienergässle 1,  72070 Tübingen, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/haendler/silberburg_am_markt
Wein - Bauer GmbH  ,"Bernd Gold, Mathias Kurzenberger",07171 - 33089,info@wein-bauer.de,http://www.wein-bauer.de,"Schaffhausen Str. 109,  72072 Tübingen, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/haendler/wein_bauer_gmbh
Spezialitäten-Compagnie,Hans Nill,07473 94 11 0,info@spezcom..de,http://www.spezcom.de,"Stegstraße 8,  72116 Mössingen, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/haendler/spezcom_1
Hofladen Alte Zimmerei,Herr Johannes Kolb,07073 - 917 412,j.kolb@altezimmerei.de,http://www.altezimmerei.de,"Tübinerstraße 22,  72119 Ammerbuch, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/haendler/hofladen_alte_zimmerei
BioVa GmbH,Herr Raphael Deckert,(0 70 54) 9 31 23-10,info@biova.de,http://www.biova.de,"Waldstraße 2,  72218 Wildberg, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/haendler/biova_gmbh
Schalkenbosch - Weinvertriebs GmbH & Co.KG,Herr Martin und Frau Anette Benz,07121 / 9393-589,info@schalkenbosch-weine.de,http://www.schalkenbosch-weine.de,"Charlottenstraße 81,  72764  Reutlingen, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/haendler/schalkenbosch_weinvertriebs_gmbh_cokg
Reformhaus Maier OHG - das etwas andere Reformhaus,Frau Nicola Maier & Thorsten Träger,(0 71 31) 8 15 57  ,info@reformhaus-heilbronn.de,http://www.reformhaus-heilbronn.de,"Allee 9,  74072 Heilbronn, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/haendler/reformhaus_maier_ohg_das_etwas_andere_reformhaus
Neuschwander GmbH,Herr Jürgen Neuschwander,07135 - 96 10 90,info@neuschwander.de,http://www.neuschwander.de,"Neipperger Str. 41,  74336 Brackenheim, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/haendler/neuschwander_gmbh
Weinladen am Gutenbergplatz,Guntram Fahmer,0721-8307770,info@weinlade.de,http://www.weinlade.de,"Nelkenstr. 33,  76135 Karlsruhe, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/haendler/weinladen_am_gutenbergplatz
Maitre Flambee,Ralph Schlawatzki,0721 - 18313980,info@flammkuchen-konzept.de,http://www.flammkuchen-konzept.de,"Sinnestr. 1,  76185 Karlsruhe, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/haendler/maitre_flambee
Trova il Tempo,Heike und Aristotelis Tolikas,0721 - 2042676,info@trova-il-tempo.de,http://www.trova-il-tempo.de,"Zunftstr.3,  76227 Karlsruhe, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/haendler/trova_il_tempo_kaffee_genuss
3er Weine & Tapas,Herr Christoph Dreyer,07222 - 93 57 05 ,cgc-christoph-dreyer@web.de,http://www.dreyer-weine.de,"Im Steingerüst 6/2,  76437 Rastatt, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/haendler/3er_weine_tapas
City and more - Individuelle Lebensart,Martina & Joachim Buchholz,072 21 / 99 28 99,info@cityandmore.de,http://www.cityandmore.de,"Am Markbach 13,  76547  Sinzheim, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/haendler/city_and_more_individuelle_lebensart
La Perla del Gusto,Herr Thomas Göb,07255 - 90 00 861,info@laperladelgusto.de,http://www.laperladelgusto.de,"Gartenstraße 3,  76676 Graben-Neudorf, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/haendler/la_perla_del_gusto
Fromi GmbH,Guillaume Dehaye,07851 - 9 37 80,info@fromi.com,http://www.fromi.com,"Otto-Hahn-Str. 5,  77694 Kehl, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/haendler/fromi_gmbh
Bessey & Flammer GmbH,Christoph Engelhardt,07223-94680,info@bessey–flammer.de,https://www.bessey-flammer.de,"Schwanenstr. 8,  77815 Bühl, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/haendler/bessey__flammer_gmbh
1A Balsamico e.K.,Volker Pampus,07720 705037,v.pampus@1abalsamico.de,http://www.1abalsamico.de,"Oberdorfstraße 6,  78054 Schwenningen, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/haendler/1abalsamico
Gewürz - Aschenbrenner,Familie Aschenbrenner,07732-821801,info@gewuerz-aschenbrenner.de,http://www.gewuerz-aschenbrenner.de,"Kabisländer 17,  78315 Radolfzell - Böhringen, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/haendler/gewuerz_aschenbrenner
Babarolo - Piemont Weine,Herr Michael Baur,(01 76) 81 48 25 58,hmbaur@msn.com,https://babarolo.com,"Täbinger Str. 6,  78661 Dietingen, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/haendler/babarolo_piemont_weine
Culinara Zoller Genusskultur,Herr Günter und Frau Adelheid Zoller,0761 - 37536,info@culinara-freiburg.de,http://www.culinara-freiburg.de,"Konviktstr. 21-23,  79098 Freiburg, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/haendler/culinara
Schafferer & Co. KG,Frau Franziska Ziebold,(07 61) 5 15 83 90,mail@schafferer.de,https://www.schafferer.de/eh/,"Kaiser - Josef - Straße 236,  79098 Freiburg im Breisgau, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/haendler/schafferer_co_kg
schön & gut,Frau Katharina Schenke,0761-48 80 17 6,kontakt@schoen-und-gut.eu,http://www.schoen-und-gut.eu,"Lorettostraße 30,  79100 Freiburg, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/haendler/schoen_gut
Elephant Beans,Herr Jörg Volkmann,(07 61) 42 96 01 90,info@elephantbeans.de,http://www.elephantbeans.de,"Basler Str. 12a,  79100  Freiburg, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/haendler/elephant_beans
Genüsse in Gläsern Ireneus Frost,Herrn Ireneus Frost,0761-21 47 42 1,info@ireneus-Frost.de,http://www.ireneus-frost.de,"Lassbergstraße 19,  79117 Freiburg, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/haendler/ireneus_frost_genuesse_in_glaesern
Viktualien.shop,Herr Christian Busse,(07681) 209 2656,post@asthelia.de,https://www.viktualien.shop,"Schusterstraße 1,  79183  Waldkirch, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/haendler/asthelia_viktualienshop
Rinklin Naturkost GmbH,Hr. Wilhelm Rinklin,07631 - 23 25,info@rinklin-naturkost.de,http://www.rinklin-naturkost.de,"Bruckmattenstraße 18,  79356 Eichstetten, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/haendler/rinklin_naturkost
Biomarkt Löwenzahn GmbH,Ulrich Zimmermann,07631-13770,info@loewenzahn-muellheim.de,http://www.loewenzahn-muellheim.de,"Bundesstr. 1,  79379 Müllheim, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/haendler/loewenzahn_naturwaren_gmbh
Sapori del Sud,Rocco Marcantonio,07632-6350,rocco.marcantonio@t-online.de,"Wilhelmstr. 26,  79410 Badenweiler, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/haendler/sapori_del_sud
priotec GmbH Abt. VINCENT BECKER®,Herr Andreas Sabisch,(0 76 34) 6 99 69 98,info@vincent-becker.de,http://www.vincent-becker.de,"Münstertäler Str. 14,  79427 Eschbach, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/haendler/priotec_gmbh_abt_vincent_becker
Feinkost Kopf ,Herr Ulrich Kopf,07634 - 55 36 196,info@feinkost-kopf.de,http://www.feinkost-kopf.de,"Max-Immelmann-Allee 9,  79427  Eschbach, Baden-Württemberg",https://www.slowfood.de/unterstuetzer/haendler/feinkost_kopf
VollCorner Biomarkt GmbH,Frau Birgit Neumann,089 200 62 37 00,info@vollcorner.de,http://www.vollcorner.de,"Schwanthalerstraße 111,  80339 München, Bayern",https://www.slowfood.de/unterstuetzer/haendler/vollcorner_biomarkt_gmbh
FINEST SPIRITS,Herr Frank Michael Böer,089 / 21 03 14 72,info@finest-spirits.com,"Aventinstr. 2,  80469 München, Bayern",https://www.slowfood.de/unterstuetzer/haendler/finest_spirits
GARIBALDI GmbH  -  Italienische Weine & Spezialitäten,Herr Eberhard Spangenberg,089 - 3 59 02 22,info@garibaldi.de,http://www.garibaldi.de,"Frohschammerstr. 14,  80807 München, Bayern",https://www.slowfood.de/unterstuetzer/haendler/garibaldi_gmbh
Gourmondo Food GmbH,Herr Pascal Zier,01805-46 87 66,info@gourmondo.de,http://www.gourmondo.de,"Marcel-Breuer-Str. 15,  80807 München, Bayern",https://www.slowfood.de/unterstuetzer/haendler/gourmondo_food_gmbh
einfach geniessen GmbH,Herr Bernhard Meßmer,089 - 89043860,info@einfachgeniessen.de,http://www.einfachgeniessen.de,"Herrschinger Straße 1,  81377  München, Bayern",https://www.slowfood.de/unterstuetzer/haendler/einfach_geniessen_gmbh
"Vinum Merum, Klaus Elbert",Klaus Elbert,089-67904850,info@vinummerum.de,http://www.vinummerum.de,"Fraunbergplatz 6,  81379 München, Bayern",https://www.slowfood.de/unterstuetzer/haendler/vinum_merum_klaus_elbert
Bio Futura B.V. - Bio Einweg Geschirr für Imbiss & Catering,Frau Thuy Duong Pham,(0 89) 64 96 66 95,kundenservice@biofutura.com,https://www.biofutura.com/de,"Lindenstrasse 12 a,  81545 München, Bayern",https://www.slowfood.de/unterstuetzer/haendler/bio_futura_bv_bio_einweg_geschirr_fuer_imbiss_catering
Weinfurore e.K.,Herr Gerhard Biber,089 - 435699-20,info@weinfurore.de,http://www.weinfurore.de,"Neumarkter Str. 55,  81673 München, Bayern",https://www.slowfood.de/unterstuetzer/haendler/weinfurore_ek
La Cantinetta,Sergio Bolzan,089-6882536,info@lacantinetta-weine.de,http://www.bolzan.de,"Neumarkter Str. 77,  81673 München, Bayern",https://www.slowfood.de/unterstuetzer/haendler/la_cantinetta
Gaggenau Hausgeräte GmbH,Herr Jörg Schudrowitz,089 - 4590 4565,joerg.schudrowitz@bshg.com,http://www.bsh-group.de,"Carl-Wery-Str. 34,  81739 München, Bayern",https://www.slowfood.de/unterstuetzer/haendler/gaggenau_hausgeraete_gmbh
Feines De Rosa,Herr Claudio De Rosa,0163 - 79 133 67,kontakt@feines-derosa.de,www.feines-derosa.de,"Ottobrunner Str. 35,  82008 Unterhaching, Bayern",https://www.slowfood.de/unterstuetzer/haendler/feines-de-rosa
Heiderbeck GmbH,Herr Peter Steding,08142 | 44567 - 0,info@heiderbeck.com,http://www.heiderbeck.com,"Gewerbering 4,  82140 Olching, Bayern",https://www.slowfood.de/unterstuetzer/haendler/heiderbeck_gmbh
La Selva Toskana Feinkost-Vertriebs-GmbH,Herr Peter Hueller,089 89 55 80 68-64,petra.schmidhuber@laselva-bio.eu,http://www.laselva-bio.eu/bio-online-shop-und-feinkost-versand,"Pasinger Straße 94,  82166 Graefeling, Bayern",https://www.slowfood.de/unterstuetzer/haendler/la_selva_toskana_feinkost
